Name,the_geom,Descriptio
Auditorium Shores,POINT (-97.755943 30.26424),"<DIV>920 W Riverside Dr.</DIV> <DIV>Austin, TX 78704<BR><IMG src=""http://cbk0.go"
Davis White Northeast District Park,POINT (-97.652878 30.302725),"<DIV>5909 Crystalbrook Dr</DIV> <DIV>Austin, TX 78724<BR><IMG src=""http://cbk0.g"
Emma Long Metropolitan Park,POINT (-97.838501 30.335217),"<DIV>1600 City Park Rd</DIV> <DIV>Austin, TX 78730<BR><IMG src=""http://cbk0.goog"
Onion Creek District Park,POINT (-97.743599 30.171667),"<DIV>7001 Onion Creek Dr</DIV> <DIV>Austin, TX 78744<BR><IMG src=""http://cbk0.go"
Shoal Creek Greenbelt,POINT (-97.748955 30.295168),"<div dir=""ltr"">2600-2799 Lamar Blvd. <br>Austin, TX</div>"
West Austin Park,POINT (-97.757111 30.277468),"<DIV>1317 W 10th St</DIV> <DIV>Austin, TX 78703<BR><IMG src=""http://cbk0.google."
Walnut Creek District Park,POINT (-97.679832 30.398497),"<DIV>12138 N Lamar Blvd</DIV> <DIV>Austin, TX 78753<BR><IMG src=""http://cbk0.goo"
Zilker Park,POINT (-97.769638 30.263988),"<DIV>2100 Barton Springs Rd</DIV> <DIV>Austin, TX 78704<BR><IMG src=""http://cbk0"
Red Bud Isle,POINT (-97.801483 30.295906),"<DIV>3401 Redbud Trail Unit Cr.</DIV> <DIV>Austin, TX<BR><IMG src=""http://cbk0.g"
Far West,POINT (-97.74794 30.350876),"6916 Great Northern Blvd.<br>Austin, TX 78757<br><a href=""https://maps.google.co"
Mary Moore Searight Metro Park,POINT (-97.806038 30.173923),"907 W Slaughter Ln<br>Austin, TX 78748<br><a href=""https://maps.google.com/maps/"
Norwood Tract at Town Lake Metro Park,POINT (-97.737854 30.249901),"1009 Edgecliff Terrace<br>Austin, TX 78704<br><a href=""https://maps.google.com/m"
